Date,Google,OpenAI,Anthropic,DeepSeek,xAI,Mistral AI
2024-11-01,1303,1340,1286,1256,1290,1251
2024-12-01,1365,1361,1282,1258,1289,1251
2025-01-01,1373,1365,1283,1315,1288,1251
2025-02-01,1382,1365,1284,1358,1288,1252
2025-03-01,1385,1377,1313,1363,1403,1251
2025-04-01,1440,1406,1306,1370,1404,1251
2025-05-01,1439,1418,1301,1373,1402,1251
2025-06-01,1446,1409,1296,1368,1399,1343
2025-07-01,1473,1428,1372,1424,1423,1369
2025-08-01,1469,1429,1374,1425,1435,1369
2025-09-01,1470,1429,1373,1427,1434,1370
